,tweet_id,begin,end,type,extraction,drug,tweet,meddra_code,meddra_term,clean_tweets,label,ADR
13,340378547141099520,,,,,cymbalta,fibro question: who has been on the drug merry-go round? (vicodin to lyrica to elavil to lunesta to cymbalta to lexipro on and on.),,,fibro question : who has been on the drug merry - go round ? ( vicodin to lyrica to elavil to lunesta to cymbalta to lexipro on and on . ),0,0
14,340486266237894657,,,,,ofloxacin,"oh yay. ciprofloxacin just in time for the weekend. i thank you vietnam &amp; egypt. alcohol, see you in 7 days. #sick",,,"oh yay . ciprofloxacin just in time for the weekend . i thank you vietnam & egypt . alcohol , see you in <number> days . <hashtag> sick </hashtag>",0,0
15,340723164759859200,,,,,trazodone,i stopped taking my trazodone so bring on another sleepless night,,,i stopped taking my trazodone so bring on another sleepless night,0,0
16,340732143997165568,,,,,lozenge,hopefully benadryl is on my side tonight and i can get some sleep. got a lozenge and dayquil and water on standby.,,,hopefully benadryl is on my side tonight and i can get some sleep . got a lozenge and dayquil and water on standby .,0,0
17,341151063681925120,,,,,geodon,@1pcornwell it sucks being bipolar.  i am taking geodon.  it seems to work most of the time.  i'm new to this.  was ptsd.  now bipolar too.,,,<user> it sucks being bipolar . i am taking geodon . it seems to work most of the time . i am new to this . was ptsd . now bipolar too .,0,0
18,341358561064005633,,,,,prozac,i exited out of my brother's bloons game and now he has fallen into a deep pit of depression. i hope mom doesn't make me pay for his prozac,,,i exited out of my brother ' s bloons game and now he has fallen into a deep pit of depression . i hope mom does not make me pay for his prozac,0,0
19,341430949596233728,,,,,seroquel,"@xrodd seroquel, an anti-psychotic, usually for schiz people but i'm on a small dose.",,,"<user> seroquel , an anti - psychotic , usually for schiz people but i am on a small dose .",0,0
20,341549235650584577,,,,,cipro,@jawalkerauthor that is scary! if you do get it the antibiotic cipro will cure it!! #keepingfingerscrossed,,,<user> that is scary ! if you do get it the antibiotic cipro will cure it ! <repeated> <hashtag> keeping fingers crossed </hashtag>,0,0
21,341642275274752000,,,,,humira,@pueblokc how's your crohn's?  i'm back on remicade and pentasa after failing at humira and cimzia,,,<user> how ' s your crohn ' s ? i am back on remicade and pentasa after failing at humira and cimzia,0,0
22,341659929721057281,,,,,lozenge,dis lady has the worst cough i wish i had a lozenge,,,dis lady has the worst cough i wish i had a lozenge,0,0
23,341698955974955010,,,,,vyvanse,thank god for vyvanse or i would be sleepping on the cash register right now,,,thank god for vyvanse or i would be sleepping on the cash register right now,0,0
24,342112103412416514,,,,,cipro,"@tobiaspeggs ha!  try not to do that.  water, sleep, cipro, and the occasional xanax can cure all travel related illnesses.  #beprepared",,,"<user> ha ! try not to do that . water , sleep , cipro , and the occasional xanax can cure all travel related illnesses . <hashtag> be prepared </hashtag>",0,0
25,342183812765208576,,,,,zometa,"@wenbellings prescription, i have zoplicone, nice and gentle but work. i have zometa to keep the bones strong and control the tumours",,,"<user> prescription , i have zoplicone , nice and gentle but work . i have zometa to keep the bones strong and control the tumours",0,0
26,342284279851675648,,,,,vyvanse,iti needs to quit hiring teachers that have already retired from one job to take this one... imma overdose on vyvanse trying to stay awake,,,iti needs to quit hiring teachers that have already retired from one job to take this one . <repeated> imma overdose on vyvanse trying to stay awake,0,0
27,342314998904786945,42.0,53.0,ADR,lost vision,cymbalta,"#cymbalta withdrawal has reached a peak, lost vision and almost crashed my car from a brain zap. thanks a zillion #elililly #bigpharma",10047522.0,vision loss,"<hashtag> cymbalta </hashtag> withdrawal has reached a peak , lost vision and almost crashed my car from a brain zap . thanks a zillion <hashtag> eli lilly </hashtag> <hashtag> big pharma </hashtag>",1,1
28,342314998904786945,11.0,21.0,ADR,withdrawal,cymbalta,"#cymbalta withdrawal has reached a peak, lost vision and almost crashed my car from a brain zap. thanks a zillion #elililly #bigpharma",10048010.0,withdrawal syndrome,"<hashtag> cymbalta </hashtag> withdrawal has reached a peak , lost vision and almost crashed my car from a brain zap . thanks a zillion <hashtag> eli lilly </hashtag> <hashtag> big pharma </hashtag>",1,1
29,342322703556038657,27.0,35.0,ADR,nauseous,cipro,i hate cipro! #antibiotic #nauseous #cf #hospitallife #cysticfibrosis,10028823.0,nauseous,i hate cipro ! <hashtag> antibiotic </hashtag> <hashtag> nauseous </hashtag> <hashtag> cf </hashtag> <hashtag> hospital life </hashtag> <hashtag> cystic fibrosis </hashtag>,1,1
30,342349802601844737,109.0,118.0,ADR,can't cum,seroquel,@luckystubbs reppin zoloft&amp;seroquel since last november. i'm hella gainin weight too awesome i'm fat and can't cum i own,10021574.0,inability to orgasm,<user> reppin zoloft & seroquel since last november . i am hella gainin weight too awesome i am fat and can not cum i own,1,1
31,342349802601844737,101.0,104.0,ADR,fat,seroquel,@luckystubbs reppin zoloft&amp;seroquel since last november. i'm hella gainin weight too awesome i'm fat and can't cum i own,10047896.0,weight gain,<user> reppin zoloft & seroquel since last november . i am hella gainin weight too awesome i am fat and can not cum i own,1,1
32,342349802601844737,71.0,84.0,ADR,gainin weight,seroquel,@luckystubbs reppin zoloft&amp;seroquel since last november. i'm hella gainin weight too awesome i'm fat and can't cum i own,10047896.0,weight gain,<user> reppin zoloft & seroquel since last november . i am hella gainin weight too awesome i am fat and can not cum i own,1,1
33,342355917045645313,21.0,29.0,ADR,headache,trazodone,i've had a trazodone headache all day. i heard they go away within a week. #hopeso #iactuallyslept,10019211.0,headache,i have had a trazodone headache all day . i heard they go away within a week . <hashtag> hope so </hashtag> <hashtag> i actually slept </hashtag>,1,1
34,342359425400582144,72.0,83.0,ADR,exacerbates,seroquel,i've had ocd symptoms like that for a while but seems like the seroquel exacerbates things and now this. :\,10076326.0,condition worsened,i have had ocd symptoms like that for a while but seems like the seroquel exacerbates things and now this . <annoyed>,1,1
35,342360821566939138,,,,,quetiapine,"and that, ladies and gentlemen, is that. fuzzy noisy head = sleep #quetiapine",,,"and that , ladies and gentlemen , is that . fuzzy noisy head = sleep <hashtag> quetiapine </hashtag>",0,0
36,342369061524615168,56.0,76.0,ADR,WON'T YOU LET ME EAT,humira,"i finally had an appetite, made food, gone. humira why won't you let me eat",10003030.0,appetite suppressed,"i finally had an appetite , made food , gone . humira why will not you let me eat",1,1
37,342376807527497730,116.0,119.0,ADR,oww,cipro,@coolpharmgreg i don't care if they are toxic haha putting the cipro drops in is essentially equivalent to torture #oww,10033371.0,pain,<user> i do not care if they are toxic haha putting the cipro drops in is essentially equivalent to torture <hashtag> oww </hashtag>,1,1
38,342376807527497730,40.0,45.0,ADR,toxic,cipro,@coolpharmgreg i don't care if they are toxic haha putting the cipro drops in is essentially equivalent to torture #oww,10013746.0,drug toxicity,<user> i do not care if they are toxic haha putting the cipro drops in is essentially equivalent to torture <hashtag> oww </hashtag>,1,1
39,342376807527497730,93.0,114.0,ADR,equivalent to torture,cipro,@coolpharmgreg i don't care if they are toxic haha putting the cipro drops in is essentially equivalent to torture #oww,10016370.0,feeling unwell,<user> i do not care if they are toxic haha putting the cipro drops in is essentially equivalent to torture <hashtag> oww </hashtag>,1,1
40,342383575078944768,36.0,44.0,ADR,confused,baclofen,"@50thingsb450 dizzy, out if it and confused on the drugs.  upping the baclofen slowly now as i seem better on these.",10010300.0,confusion,"<user> dizzy , out if it and confused on the drugs . upping the baclofen slowly now as i seem better on these .",1,1
41,342383575078944768,15.0,20.0,ADR,dizzy,baclofen,"@50thingsb450 dizzy, out if it and confused on the drugs.  upping the baclofen slowly now as i seem better on these.",10013573.0,dizziness,"<user> dizzy , out if it and confused on the drugs . upping the baclofen slowly now as i seem better on these .",1,1
42,342383575078944768,22.0,31.0,ADR,out if it,baclofen,"@50thingsb450 dizzy, out if it and confused on the drugs.  upping the baclofen slowly now as i seem better on these.",10041374.0,spaced out,"<user> dizzy , out if it and confused on the drugs . upping the baclofen slowly now as i seem better on these .",1,1
43,342393613180862465,81.0,97.0,ADR,Skin sensitivity,humira,@benderbach cause humira gives me a lot of rashes and like most of these drugs.. skin sensitivity happens,10021681.0,increasd skin sensitivity,<user> cause humira gives me a lot of rashes and like most of these drugs . <repeated> skin sensitivity happens,1,1
44,342393613180862465,43.0,49.0,ADR,rashes,humira,@benderbach cause humira gives me a lot of rashes and like most of these drugs.. skin sensitivity happens,10037844.0,rash,<user> cause humira gives me a lot of rashes and like most of these drugs . <repeated> skin sensitivity happens,1,1
45,342397871229911040,110.0,115.0,ADR,wonky,venlafaxine,@stillicides @stfumisogynists @schizophrenicgb *buts in* you don't wanna miss venlafaxine no no it made me so wonky missing one day! ouch,10016366.0,feeling strange,<user> <user> <user> * buts in * you do not wanna miss venlafaxine no no it made me so wonky missing one day ! ouch,1,1
46,342476405872939008,34.0,43.0,ADR,nocturnal,vyvanse,?@dipndots95: my vyvanse makes me nocturnal ???,10041017.0,sleeplessness,? <user> : my vyvanse makes me nocturnal ? <repeated>,1,1
47,342479732811644929,27.0,35.0,ADR,headache,MTX,i'd gladly trade the #mtx  headache for #humira but after 5 months i still don't have the prescription. i function through vitamins &amp; motrin,10019211.0,headache,i ' d gladly trade the <hashtag> mtx </hashtag> headache for <hashtag> humira </hashtag> but after <number> months i still do not have the prescription . i function through vitamins & motrin,1,1
48,342480912350576641,56.0,60.0,ADR,balm,humira,thank god i was born with so much hair; i wouldn't been balm by now. #crohnsproblems #teamibd #hairloss #humira #chronic #illness #gratitude,10019045.0,hair loss,thank god i was born with so much hair ; i would not been balm by now . <hashtag> crohn s problems </hashtag> <hashtag> team ibd </hashtag> <hashtag> hair loss </hashtag> <hashtag> humira </hashtag> <hashtag> chronic </hashtag> <hashtag> illness </hashtag> <hashtag> gratitude </hashtag>,1,1
49,342480912350576641,95.0,103.0,ADR,hairloss,humira,thank god i was born with so much hair; i wouldn't been balm by now. #crohnsproblems #teamibd #hairloss #humira #chronic #illness #gratitude,10019045.0,hair loss,thank god i was born with so much hair ; i would not been balm by now . <hashtag> crohn s problems </hashtag> <hashtag> team ibd </hashtag> <hashtag> hair loss </hashtag> <hashtag> humira </hashtag> <hashtag> chronic </hashtag> <hashtag> illness </hashtag> <hashtag> gratitude </hashtag>,1,1
50,342537091495895040,28.0,58.0,ADR,sleeping schedule of a vampire,vyvanse,vyvanse makes me having the sleeping schedule of a vampire.,10041017.0,sleeplessness,vyvanse makes me having the sleeping schedule of a vampire .,1,1
51,342607933672148992,116.0,132.0,ADR,calcium problems,levaquin,1/2 vitamin d malsorption and damaged photosynthesis of sun shine in to vitamin d from levaquin toxicity leading to calcium problems.,10006956.0,calcium deficiency,<number> / <number> vitamin d malsorption and damaged photosynthesis of sun shine in to vitamin d from levaquin toxicity leading to calcium problems .,1,1
52,342607933672148992,4.0,25.0,ADR,Vitamin D malsorption,levaquin,1/2 vitamin d malsorption and damaged photosynthesis of sun shine in to vitamin d from levaquin toxicity leading to calcium problems.,10047626.0,vitamin d deficiency,<number> / <number> vitamin d malsorption and damaged photosynthesis of sun shine in to vitamin d from levaquin toxicity leading to calcium problems .,1,1
53,342671774519009280,136.0,145.0,ADR,depressed,vyvanse,"but still dr. maria jasinskas was right &amp; would have been if not for pharmacy; she said, ""you know sometimes vyvanse can make you depressed""",10012378.0,depression,"but still dr . maria jasinskas was right & would have been if not for pharmacy ; she said , "" you know sometimes vyvanse can make you depressed """,1,1
54,342705807537868802,59.0,68.0,ADR,wait gain,quetiapine,@brokenmind_ quetiapine was horrific for me in relation to wait gain. such a horror story. but the weight will come off one day at a time.,10047896.0,weight gain,<user> quetiapine was horrific for me in relation to wait gain . such a horror story . but the weight will come off one day at a time .,1,1
55,342705807537868802,99.0,105.0,ADR,weight,quetiapine,@brokenmind_ quetiapine was horrific for me in relation to wait gain. such a horror story. but the weight will come off one day at a time.,10047896.0,weight gain,<user> quetiapine was horrific for me in relation to wait gain . such a horror story . but the weight will come off one day at a time .,1,1
56,342729569243119617,,,,,lamotrigine,@bipolarlab think just #lithium for #monotherapy &amp; #lamotrigine 4 #rapidcycling - #atypicalantipsychotics now revealing serious #sideeffects,,,<user> think just <hashtag> lithium </hashtag> for <hashtag> mono therapy </hashtag> & <hashtag> lamo tri gine </hashtag> <number> <hashtag> rapid cycling </hashtag> - <hashtag> a typical anti psychotics </hashtag> now revealing serious <hashtag> side effects </hashtag>,0,0
57,342730668704415745,104.0,122.0,ADR,destroyed my liver,infliximab,"@almostwell what problems did you have with humira, if you don't mind me asking. i tried infliximab it destroyed my liver.",10024668.0,liver damage,"<user> what problems did you have with humira , if you do not mind me asking . i tried infliximab it destroyed my liver .",1,1
58,342763086056419329,79.0,96.0,ADR,allergic reaction,Cimzia,"@amberinnerglow @eclipsedblue me too, remicade for a year, humira, and had an allergic reaction to cimzia, almost killed me in november.",10001718.0,allergic reaction,"<user> <user> me too , remicade for a year , humira , and had an allergic reaction to cimzia , almost killed me in november .",1,1
59,342763086056419329,108.0,124.0,ADR,almost killed me,Cimzia,"@amberinnerglow @eclipsedblue me too, remicade for a year, humira, and had an allergic reaction to cimzia, almost killed me in november.",10068111.0,near death experience,"<user> <user> me too , remicade for a year , humira , and had an allergic reaction to cimzia , almost killed me in november .",1,1
60,342767620749139969,,,,,juxtapid,@rnaianalyst @theflynews sad but over aggressive marketing of juxtapid will probably make it more difficult for true hofh to get covered,,,<user> <user> sad but over aggressive marketing of juxtapid will probably make it more difficult for true hofh to get covered,0,0
61,342776360185503744,,,,,cipro,"@charlienicola85 someones said can happen while fighting infection which is quite possible,nearly finished some cipro&amp;bringing up foul gunk!",,,"<user> someones said can happen while fighting infection which is quite possible , nearly finished some cipro & bringing up foul gunk !",0,0
62,342843798554046464,56.0,70.0,ADR,mixed episodes,Lexapro,@hello_nacho @tobiasampersand lexapro gave me the worst mixed episodes. i have some instability with pristiq but i can manage it ok.,10065032.0,mixed manic depressive episode,<user> <user> lexapro gave me the worst mixed episodes . i have some instability with pristiq but i can manage it ok .,1,1
63,342918945839411200,131.0,135.0,ADR,high,trazodone,"@kkarkatvantas1 (( when i used to take trazodone to sleep, people would make me stay up after i took it so they could watch me be high ))",10016333.0,feeling high,"<user> ( ( when i used to take trazodone to sleep , people would make me stay up after i took it so they could watch me be high ) )",1,1
64,343076301835472898,21.0,32.0,ADR,WITHDRAWALS,paroxetine,im having paroxetine withdrawals but thats ok cuz i still aint takin no moe fuck behavioral health ill be iight,10048010.0,withdrawal syndrome,im having paroxetine withdrawals but thats ok cuz i still aint takin no moe fuck behavioral health ill be iight,1,1
65,343109117877026818,76.0,80.0,ADR,pain,cipro,"almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",10033371.0,pain,"almost blew out my arms & heels @ work . they hurt like hell . & the pain is spreading , damned cipro .",1,1
66,343109117877026818,31.0,36.0,ADR,heels,cipro,"almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",10033431.0,pain in heel,"almost blew out my arms & heels @ work . they hurt like hell . & the pain is spreading , damned cipro .",1,1
67,343109117877026818,50.0,54.0,ADR,hurt,cipro,"almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",10033371.0,pain,"almost blew out my arms & heels @ work . they hurt like hell . & the pain is spreading , damned cipro .",1,1
68,343109117877026818,8.0,24.0,ADR,blew out my arms,cipro,"almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",10079024.0,arm injury,"almost blew out my arms & heels @ work . they hurt like hell . & the pain is spreading , damned cipro .",1,1
69,343130110569873409,45.0,54.0,ADR,migraines,vyvanse,adderall makes me vomit and vyvanse gives me migraines.. the struggle,10027599.0,migraine,adderall makes me vomit and vyvanse gives me migraines . <repeated> the struggle,1,1
70,343130110569873409,18.0,23.0,ADR,vomit,Adderall,adderall makes me vomit and vyvanse gives me migraines.. the struggle,10047700.0,vomiting,adderall makes me vomit and vyvanse gives me migraines . <repeated> the struggle,1,1
71,343146080269111297,31.0,47.0,ADR,Bizarre thoughts,quetiapine,the #quetiapine is kicking in. bizarre thoughts tonight. tempted to take the whole lot. i won't - don't worry people. just odd thoughts.,10021402.0,illogical thinking,the <hashtag> quetiapine </hashtag> is kicking in . bizarre thoughts tonight . tempted to take the whole lot . i will not - do not worry people . just odd thoughts .,1,1
72,343154435695980547,47.0,66.0,ADR,can't think as fast,vyvanse,i'm always irritated on vyvanse because people can't think as fast as i can. it's like every conversation is with someone at a nursing home,10041049.0,slowed thinking,i am always irritated on vyvanse because people can not think as fast as i can . it ' s like every conversation is with someone at a nursing home,1,1
73,343154435695980547,11.0,20.0,ADR,irritated,vyvanse,i'm always irritated on vyvanse because people can't think as fast as i can. it's like every conversation is with someone at a nursing home,10016337.0,feeling irritated,i am always irritated on vyvanse because people can not think as fast as i can . it ' s like every conversation is with someone at a nursing home,1,1
74,343161902710542337,86.0,92.0,ADR,zombie,zoloft,@ysabel_03 @bofier try something like wellbutrin - there are many better than zoloft (zombie-loft) and paxil for anxiety imo,10016384.0,felt like a zombie,<user> <user> try something like wellbutrin - there are many better than zoloft ( zombie - loft ) and paxil for anxiety imo,1,1
75,343248815844913153,108.0,123.0,ADR,get out of bed ,seroquel,i fell asleep and woke back up again. trying a quarter of a seroquel instead of half this time. i'd like to get out of bed tomorrow.,10041349.0,somnolence,i fell asleep and woke back up again . trying a quarter of a seroquel instead of half this time . i ' d like to get out of bed tomorrow .,1,1
76,343255526232178688,48.0,63.0,ADR,aches and pains,tysabri,"does anyone on #tysabri get flu iike symptoms, aches and pains, shivers a sweats i seem to get it about a week or so after i've had infusion",10000424.0,ache,"does anyone on <hashtag> ty sabri </hashtag> get flu iike symptoms , aches and pains , shivers a sweats i seem to get it about a week or so after i have had infusion",1,1
77,343255526232178688,29.0,46.0,ADR,flu Iike symptoms,tysabri,"does anyone on #tysabri get flu iike symptoms, aches and pains, shivers a sweats i seem to get it about a week or so after i've had infusion",10016791.0,flu like symptoms,"does anyone on <hashtag> ty sabri </hashtag> get flu iike symptoms , aches and pains , shivers a sweats i seem to get it about a week or so after i have had infusion",1,1
78,343255526232178688,65.0,72.0,ADR,shivers,tysabri,"does anyone on #tysabri get flu iike symptoms, aches and pains, shivers a sweats i seem to get it about a week or so after i've had infusion",10040559.0,shivers,"does anyone on <hashtag> ty sabri </hashtag> get flu iike symptoms , aches and pains , shivers a sweats i seem to get it about a week or so after i have had infusion",1,1
79,343255526232178688,75.0,81.0,ADR,sweats,tysabri,"does anyone on #tysabri get flu iike symptoms, aches and pains, shivers a sweats i seem to get it about a week or so after i've had infusion",10042661.0,sweating,"does anyone on <hashtag> ty sabri </hashtag> get flu iike symptoms , aches and pains , shivers a sweats i seem to get it about a week or so after i have had infusion",1,1
80,343359399659712512,101.0,105.0,ADR,rage,vyvanse,rt @swagbologna: if this fuckin emt looks at me one more time hes gonna feel the wrath of my vyvanse rage,10037804.0,rage,rt <user> : if this fuckin emt looks at me one more time hes gonna feel the wrath of my vyvanse rage,1,1
81,343472402082181120,32.0,37.0,ADR,Aches,rivaroxaban,"21.55 rivaroxaban diary day 8. aches easing, back pain easing. swollen lower legs like fluid retention. i take 20mg. furosemide every a.m.",10000424.0,ache,"<number> rivaroxaban diary day <number> . aches easing , back pain easing . swollen lower legs like fluid retention . i take 2 0 mg . furosemide every a . m .",1,1
82,343472402082181120,46.0,55.0,ADR,back pain,rivaroxaban,"21.55 rivaroxaban diary day 8. aches easing, back pain easing. swollen lower legs like fluid retention. i take 20mg. furosemide every a.m.",10003988.0,back pain,"<number> rivaroxaban diary day <number> . aches easing , back pain easing . swollen lower legs like fluid retention . i take 2 0 mg . furosemide every a . m .",1,1
83,343472402082181120,88.0,103.0,ADR,fluid retention,rivaroxaban,"21.55 rivaroxaban diary day 8. aches easing, back pain easing. swollen lower legs like fluid retention. i take 20mg. furosemide every a.m.",10016807.0,fluid retention,"<number> rivaroxaban diary day <number> . aches easing , back pain easing . swollen lower legs like fluid retention . i take 2 0 mg . furosemide every a . m .",1,1
84,343472402082181120,64.0,82.0,ADR,Swollen lower legs,rivaroxaban,"21.55 rivaroxaban diary day 8. aches easing, back pain easing. swollen lower legs like fluid retention. i take 20mg. furosemide every a.m.",10042700.0,swelling of legs,"<number> rivaroxaban diary day <number> . aches easing , back pain easing . swollen lower legs like fluid retention . i take 2 0 mg . furosemide every a . m .",1,1
85,343476427846475776,31.0,47.0,ADR,comedown is hell,effexor,@deltrimental @scribble_dragon comedown is hell. when i went cold turkey from effexor it was about two weeks before the zap noises stopped,10013754.0,drug withdrawal syndrome,<user> <user> comedown is hell . when i went cold turkey from effexor it was about two weeks before the zap noises stopped,1,1
86,343476427846475776,120.0,130.0,ADR,zap noises,effexor,@deltrimental @scribble_dragon comedown is hell. when i went cold turkey from effexor it was about two weeks before the zap noises stopped,10014358.0,electric shock sensation,<user> <user> comedown is hell . when i went cold turkey from effexor it was about two weeks before the zap noises stopped,1,1
87,343481297446006784,57.0,65.0,ADR,dry eyed,effexor,"my effexor has left me with the inability to cry. i was dry eyed watching ""into the wild"" and even one of those sarah mclachlan commercials",10071175.0,lack of feeling emotions,"my effexor has left me with the inability to cry . i was dry eyed watching "" into the wild "" and even one of those sarah mclachlan commercials",1,1
88,343481297446006784,33.0,49.0,ADR,inability to cry,effexor,"my effexor has left me with the inability to cry. i was dry eyed watching ""into the wild"" and even one of those sarah mclachlan commercials",10071175.0,lack of feeling emotions,"my effexor has left me with the inability to cry . i was dry eyed watching "" into the wild "" and even one of those sarah mclachlan commercials",1,1
89,343482622871236608,66.0,71.0,ADR,angry,vyvanse,i hate how vyvanse makes me over think everything and it makes me angry about things that i shouldn't even be angry about,10002368.0,anger,i hate how vyvanse makes me over think everything and it makes me angry about things that i should not even be angry about,1,1
90,343482622871236608,28.0,38.0,ADR,over think,vyvanse,i hate how vyvanse makes me over think everything and it makes me angry about things that i shouldn't even be angry about,10067192.0,racing thoughts,i hate how vyvanse makes me over think everything and it makes me angry about things that i should not even be angry about,1,1
91,343491179695964160,50.0,57.0,ADR,naptime,humira,"too tired to function right now, thanks humira. #naptime ??????",10041014.0,sleepiness,"too tired to function right now , thanks humira . <hashtag> nap time </hashtag> ? <repeated>",1,1
92,343491179695964160,5.0,10.0,ADR,tired,humira,"too tired to function right now, thanks humira. #naptime ??????",10043890.0,tiredness,"too tired to function right now , thanks humira . <hashtag> nap time </hashtag> ? <repeated>",1,1
93,343523993749434369,95.0,99.0,ADR,pain,cipro,"rt @annie_monster: almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",10033371.0,pain,"rt <user> : almost blew out my arms & heels @ work . they hurt like hell . & the pain is spreading , damned cipro .",1,1
94,343523993749434369,50.0,55.0,ADR,heels,cipro,"rt @annie_monster: almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",10033431.0,pain in heel,"rt <user> : almost blew out my arms & heels @ work . they hurt like hell . & the pain is spreading , damned cipro .",1,1
95,343523993749434369,69.0,73.0,ADR,hurt,cipro,"rt @annie_monster: almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",10033371.0,pain,"rt <user> : almost blew out my arms & heels @ work . they hurt like hell . & the pain is spreading , damned cipro .",1,1
96,343523993749434369,27.0,43.0,ADR,blew out my arms,cipro,"rt @annie_monster: almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",10079024.0,arm injury,"rt <user> : almost blew out my arms & heels @ work . they hurt like hell . & the pain is spreading , damned cipro .",1,1
97,343569840684007424,14.0,26.0,ADR,Not sleeping,vyvanse,fuckin wired! not sleeping tonight. #vyvanse #whatdoido #yuuuuup,10041017.0,sleeplessness,fuckin wired ! not sleeping tonight . <hashtag> vyvanse </hashtag> <hashtag> what do i do </hashtag> <hashtag> yup <elongated> </hashtag>,1,1
98,343569840684007424,7.0,12.0,ADR,wired,vyvanse,fuckin wired! not sleeping tonight. #vyvanse #whatdoido #yuuuuup,10041017.0,sleeplessness,fuckin wired ! not sleeping tonight . <hashtag> vyvanse </hashtag> <hashtag> what do i do </hashtag> <hashtag> yup <elongated> </hashtag>,1,1
99,343680963244613632,,,,,humira,@doctorchristian i think some people will try anything sometimes! i have with my severe psoriasis!finally awaiting humira injection anydayx,,,<user> i think some people will try anything sometimes ! i have with my severe psoriasis ! finally awaiting humira injection anydayx,0,0
100,343814311971528705,60.0,79.0,ADR,hands barely usable,cipro,"had 2 quit job: tendons in lots of pain,  almost ruptured, hands barely usable now. damned cipro.",10079099.0,hand injury,"had <number> quit job : tendons in lots of pain , almost ruptured , hands barely usable now . damned cipro .",1,1
101,343814311971528705,16.0,40.0,ADR, tendons in lots of pain,cipro,"had 2 quit job: tendons in lots of pain,  almost ruptured, hands barely usable now. damned cipro.",10066371.0,tendon pain,"had <number> quit job : tendons in lots of pain , almost ruptured , hands barely usable now . damned cipro .",1,1
